epoch,step,val_loss
0,11,0.9628208875656128
1,23,0.9219733476638794
2,35,0.851521909236908
3,47,0.780795693397522
4,59,0.7249528765678406
5,71,0.6654781103134155
6,83,0.6330819725990295
7,95,0.561318576335907
8,107,0.5195490121841431
9,119,0.45523303747177124
10,131,0.4400990903377533
11,143,0.38907167315483093
12,155,0.37471744418144226
13,167,0.30739086866378784
14,179,0.2844711244106293
15,191,0.28001442551612854
16,203,0.22910983860492706
17,215,0.23879608511924744
18,227,0.1788284033536911
19,239,0.1797993779182434
20,251,0.15391923487186432
21,263,0.13561592996120453
22,275,0.1235080435872078
23,287,0.12195906043052673
24,299,0.10337615758180618
25,311,0.09887605160474777
26,323,0.08785870671272278
27,335,0.09964083880186081
28,347,0.05699232965707779
29,359,0.06696932017803192
30,371,0.0467364676296711
31,383,0.11016202718019485
32,395,0.0381692573428154
33,407,0.047713685780763626
34,419,0.04652194306254387
35,431,0.05155392736196518
36,443,0.02705143205821514
37,455,0.022054079920053482
38,467,0.026915835216641426
39,479,0.02078293077647686
40,491,0.08094004541635513
41,503,0.01893853396177292
42,515,0.015114211477339268
43,527,0.0243231114000082
44,539,0.023500952869653702
45,551,0.03683288395404816
46,563,0.0167925413697958
47,575,0.018082978203892708
48,587,0.020586052909493446
49,599,0.017317218706011772
50,611,0.02013566717505455
51,623,0.00945448037236929
52,635,0.036069754511117935
53,647,0.007801820058375597
54,659,0.01852884329855442
55,671,0.016601422801613808
56,683,0.005435374565422535
57,695,0.0234121922403574
58,707,0.00898412149399519
59,719,0.03174404799938202
60,731,0.02307812124490738
61,743,0.010949766263365746
62,755,0.005195614881813526
63,767,0.020325053483247757
64,779,0.03634331375360489
65,791,0.010850152932107449
66,803,0.006264445371925831
67,815,0.02765042521059513
68,827,0.01683126762509346
69,839,0.03999872878193855
70,851,0.01963658817112446
71,863,0.025912653654813766
72,875,0.0142480144277215
73,887,0.020314889028668404
74,899,0.017315063625574112
75,911,0.0373477078974247
76,923,0.011406698264181614
77,935,0.01702750101685524
